Company,Website,Location,Contact,Rating,Review,Hourly Rate,Min Project Size,Employee Size
appssemble,https://www.appssemble.com/,Cluj-Napoca,                                0040745155693                            ,                                5.0                            ,18                                                                     reviews                                                            ,$50 - $99 / hr,"$10,000+",10-49
3SIDEDCUBE,https://3sidedcube.com/en-us/contact/,Bournemouth,                                +44 (0)1202 611 612                            ,                                4.9                            ,30                                                                     reviews                                                            ,$100 - $149 / hr,"$50,000+",10-49
MichiganSoftwareLabs,http://michiganlabs.com/,Ada,                                6165940269                            ,                                4.9                            ,8                                                                     reviews                                                            ,$150 - $199 / hr,"$25,000+",10-49
CitrusBits,https://citrusbits.com/,Los Angeles,                                925-452-6012                            ,                                5.0                            ,30                                                                     reviews                                                            ,$100 - $149 / hr,"$25,000+",10-49
MobiDev,https://mobidev.biz,Norcross,                                +18883800276                            ,                                5.0                            ,13                                                                     reviews                                                            ,$50 - $99 / hr,"$10,000+",250-999
CheesecakeLabs,https://cheesecakelabs.com/,San Francisco,                                4156916007                            ,                                4.9                            ,40                                                                     reviews                                                            ,$50 - $99 / hr,"$50,000+",50-249
RichestSoft,https://richestsoft.com/,Panchkula,                                +13152104488                            ,                                4.8                            ,45                                                                     reviews                                                            ,< $25 / hr,"$1,000+",10-49
mTractionEnterprise,https://enterprise.affle.com/mobile-app-development/,,                                +6589087518                            ,                                4.7                            ,42                                                                     reviews                                                            ,$25 - $49 / hr,"$25,000+",50-249
Netguru,https://www.netguru.com/services/,Poznań,                                442038713389                            ,                                4.8                            ,41                                                                     reviews                                                            ,$50 - $99 / hr,"$25,000+",250-999
ChopDawg.com,https://www.chopdawg.com/,Philadelphia,                                (800) 490-1476                            ,                                4.9                            ,62                                                                     reviews                                                            ,$100 - $149 / hr,"$25,000+",10-49
itCraft,https://itcraftapps.com/,Warszawa,                                +1 646 630 9053                            ,                                5.0                            ,55                                                                     reviews                                                            ,$50 - $99 / hr,"$50,000+",50-249
TheNineHertz,https://theninehertz.com/,Cincinnati,                                +13153814100                            ,                                4.7                            ,92                                                                     reviews                                                            ,< $25 / hr,"$5,000+",50-249
HalcyonMobile,https://halcyonmobile.com/,New York,                                +1 650 924 9023                            ,                                4.9                            ,24                                                                     reviews                                                            ,$50 - $99 / hr,"$25,000+",50-249
BlueLabelLabs,https://www.bluelabellabs.com,New York,                                2078905983                            ,                                4.8                            ,49                                                                     reviews                                                            ,$100 - $149 / hr,"$75,000+",50-249
ROCKETECH,https://rocketech.it/,Singapore,                                +6531593765                            ,                                4.9                            ,29                                                                     reviews                                                            ,$25 - $49 / hr,"$5,000+",50-249
EmizenTech,https://www.emizentech.com/mobile-app-development.html,Jaipur,                                +91 8107990154                            ,                                4.9                            ,70                                                                     reviews                                                            ,< $25 / hr,"$5,000+",50-249
Geniusee,https://geniusee.com/,Warszawa,                                +1 512 394 8852                            ,                                5.0                            ,39                                                                     reviews                                                            ,$50 - $99 / hr,"$25,000+",50-249
RadiansysInc,http://www.radiansys.com/,Gurugram,                                9899320307                            ,                                5.0                            ,12                                                                     reviews                                                            ,< $25 / hr,"$10,000+",50-249
"ConfianzGlobal,Inc",https://www.confianzit.com/mobile-app-development/,Charlotte,                                7042154622                            ,                                4.8                            ,37                                                                     reviews                                                            ,$25 - $49 / hr,"$5,000+",50-249
